No,タイトル,担当者,ステータス,優先度,カテゴリ,期限,四半期
1,ログイン画面のUI刷新,田中,完了,MEDIUM,フロントエンド,2026-02-28,Q1
2,決済APIの結合テスト,田中,作業中,HIGH,バックエンド,2026-03-10,Q1
3,ユーザー通知メール機能,田中,未着手,HIGH,バックエンド,2026-03-20,Q1
4,管理画面の権限管理,田中,未着手,MEDIUM,フロントエンド,2026-03-31,Q1
5,本番DBのマイグレーション,田中,未着手,HIGH,インフラ,2026-04-15,Q2
6,LP用の問い合わせフォーム,鈴木,完了,LOW,フロントエンド,2026-03-15,Q1
7,CSVエクスポート機能,鈴木,レビュー,MEDIUM,バックエンド,2026-03-25,Q1
8,パスワードリセット機能,山田,作業中,HIGH,バックエンド,2026-02-15,Q1
9,月次レポート自動生成,山田,未着手,MEDIUM,バックエンド,2026-04-30,Q2
10,Slack通知連携,佐藤,完了,MEDIUM,インフラ,2026-03-01,Q1
11,APIレートリミット実装,佐藤,完了,HIGH,バックエンド,2026-02-20,Q1
12,ステージング環境構築,佐藤,完了,MEDIUM,インフラ,2026-03-05,Q1
13,多言語対応（英語）,高橋,作業中,LOW,フロントエンド,2026-05-31,Q2
14,監査ログ機能,高橋,未着手,HIGH,バックエンド,2026-03-14,Q1
15,脆弱性診断の対応,高橋,未着手,HIGH,インフラ,2026-03-07,Q1
16,検索機能の全文検索化,山田,レビュー,MEDIUM,バックエンド,2026-03-18,Q1
17,ダッシュボードのグラフ表示,鈴木,作業中,MEDIUM,フロントエンド,2026-03-28,Q1
18,二要素認証の導入,山田,未着手,HIGH,バックエンド,2026-03-22,Q1
19,画像アップロード機能,田中,未着手,MEDIUM,バックエンド,2026-04-10,Q2
20,CI/CDパイプライン整備,佐藤,完了,HIGH,インフラ,2026-02-28,Q1
21,利用規約同意フロー,鈴木,完了,LOW,フロントエンド,2026-02-10,Q1
22,外部API連携（天気）,高橋,作業中,LOW,バックエンド,2026-04-20,Q2
23,エラーページのデザイン,鈴木,未着手,LOW,フロントエンド,2026-04-05,Q2
24,バッチ処理の非同期化,山田,作業中,HIGH,バックエンド,2026-03-12,Q1
25,本番監視アラート設定,佐藤,レビュー,HIGH,インフラ,2026-03-20,Q1
26,ユーザー招待機能,田中,未着手,MEDIUM,バックエンド,2026-04-25,Q2
27,PDFエクスポート機能,鈴木,未着手,MEDIUM,バックエンド,2026-04-15,Q2
28,アクセス解析タグ埋め込み,高橋,完了,LOW,フロントエンド,2026-03-01,Q1
29,データベースバックアップ自動化,佐藤,完了,HIGH,インフラ,2026-02-25,Q1
30,お知らせ管理機能,山田,未着手,LOW,フロントエンド,2026-05-15,Q2
